date,Task,time
01-01-22,dovolena,
02-01-22,dovolena,
03-01-22,dovolena,
04-01-22,dovolena,
05-01-22,dovolena,
06-01-22,dovolena,
07-01-22,dovolena,
08-01-22,dovolena,
09-01-22,Travel to CZ,
10-01-22,Otter dissections Usti,8
11-01-22,Otter dissections Usti,8
12-01-22,Otter dissections Usti,8
13-01-22,Otter dissections Usti,5
13-01-22,Travel to Lidero,3
14-01-22,Planning,5
14-01-22,Niche analysis VP,4
15-01-22,GPS holes data cleaning,3
15-01-22,Susliks AI,2
16-01-22,Planning and timesheets,1
16-01-22,Emails,1
17-01-22,Paper Miroslav,9
18-01-22,Paper Miroslav,4
18-01-22,Pea cages analysis,3
19-01-22,Pea cages analysis,3
19-01-22,Interview remote job Biodiversity monitoring,2
19-01-22,Paper Miroslav,3
20-01-22,Planning and timesheets,"1,5"
20-01-22,Paper Miroslav,5
20-01-22,Pea cages analysis,1
20-01-22,Comms course live qa,1
21-01-22,Planning and timesheets,"0,5"
21-01-22,Interview remote job Biodiversity monitoring 2,2
21-01-22,Paper Miroslav,5
22-01-22,Paper Miroslav,3
23-01-22,Otter overland tracking,4
23-01-22,Planning,0.5
23-01-22,Pea cages analysis,2.5
24-01-22,Pea cages analysis,3
24-01-22,Paper Miroslav,4
24-01-22,Kick Starter,1
25-01-22,Planning,0.5
25-01-22,Paper Miroslav,8
26-01-22,Paper Miroslav ,6
26-01-22,Planning,1
26-01-22,Interview remote job Biodiversity monitoring 2,0.5
27-01-22,Planning,0.5
27-01-22,Paper Miroslav ,6
27-01-22,Linkedin webinar research for CC,1
28-01-22,Meeting Liderovice,4.5
28-01-22,Paper Miroslav,4
28-01-22,Planning,1
30-01-22,ALKA newsletter,2
30-01-22,Planning,1
31-01-22,Planning,0.5
31-01-22,Susliks AI,4
31-01-22,Re-installing NAS drive (for susliks AI),5